id,label,data
1,医疗健康,急聘修脚按摩技师 工作要求：要求两年工作经验以上年龄要求：25-50周岁工作内容：修脚、按脚、足疗、全身*、精油开背供吃住，满勤奖，工作轻松，环境干净，氛围极好，急聘，欢迎来电咨询，店面位置好地处富人区，客流量大，非常方便，包吃包住，人性化管理，开心工作开心赚钱。
2,医疗健康,5K包吃住聘护理员 工作内容：服务半自理、卧床，失能失智老人生活起居及其他护理工作要求：1.有耐心可以照顾老人2.有过经验，能够独立完成护理工作，或者学习能力较强者条件可适当放宽3.供吃供住工作长期稳定，工资待遇4000-10000。年龄：57周岁以内，**不限
3,医疗健康,不需要证的网络咨询护士 在网络对话和拨打医院电话的访客沟通，指导预约挂号及相关病情解答与服务。职位要求：1、大专以上学历，医学、临床、护理等专业；口腔专业优先2、语言表达清晰、流畅、具有良好的交流沟通能力，亲和力；3、熟悉计算机基础知识，打字熟练，有一个销售意识；4、具有良好的职业道德和团队协作精神。6、有宿舍和伙食。7、能顺利接打电话，微信聊天相关操作熟悉工作时间：需倒班白班早8：00-下午4：00晚班下午4：00-晚上11：00
4,医疗健康,包吃住急聘按摩足疗师 工作要求：要求两年工作经验以上年龄要求：25-50周岁工作内容：修脚、按脚、足疗、全身*、精油开背供吃住，满勤奖，工作轻松，环境干净，氛围极好，急聘，欢迎来电咨询，店面位置好地处富人区，客流量大，非常方便，包吃包住，人性化管理，开心工作开心赚钱。
5,医疗健康,内科医生 诊治病人，技术过硬，工作认真负责，对待患者热情有耐心，有团队合作精神
6,医疗健康,西医内科医生 负责门诊日常患者就诊，手法好，懂急抢救流程具体电话联系
7,医疗健康,诚聘45岁以下艾灸师 招聘艾灸师无经验均可年龄45岁以下工作时间：早九～晚七月休4天福利：年假7天，工龄假7天，工作满一年交5险，法定假期休息，每年团建外出旅游，节日礼品，生日假薪资：底薪提成手工奖励饭补满勤年终奖励
8,医疗健康,急聘修脚按摩技师客源稳定 工作要求：要求两年工作经验以上年龄要求：25-50周岁工作内容：修脚、按脚、足疗、全身*、精油开背供吃住，满勤奖，工作轻松，环境干净，氛围极好，急聘，欢迎来电咨询，店面位置好地处富人区，客流量大，非常方便，包吃包住，人性化管理，开心工作开心赚钱。
9,医疗健康,聘正规按摩师活多事少 工作内容：*时间短，店内环境好，手法正规，、、职位要求：形象好气质佳、有无经验均可，
10,医疗健康,"福泽浴足急聘按摩师 职位描述急聘*师，试用期七天，不满意随走随结电联优先，详细了解，欢迎咨询1，有无经验均可形象好气质佳免费培训工资稳定收入高，汝生2，福利丰富:定期团建，优秀员工奖金,旅游。3、优势:连锁店互相调动，不用担心没有顾客。4、客源稳定，资源丰富提点高，收入高待遇丰厚5、有月休，人性化管理，同事之间相处和睦，氛围好心不累。6、开开心心工作快快乐乐赚钱"
11,医疗健康,保底7千聘中医推拿按摩师 岗位职责：负责顾客的身体中医保健*需要，任职资格：7年以上中医推拿工作经验，手法熟练，沟通能力强，有团队精神，年龄25--40之间，身高175以上，形象好，有爱心，能长期合作福利待遇：底薪5000+个人销售提成+手工+奖金=8000-12000元工作时间：9--18点，月休四天
12,医疗健康,急招护士待遇优 护士，早八晚九，上一天休一天，有护士证薪资面谈会扎小孩手脚
13,医疗健康,急南关区穿串工4.5k+ 薪酬待遇：1.底薪保底4500+计件工资，综合薪资4500-5000，工资每月准时发放；2.免费提供食宿，工作服，便捷温馨的住宿环境，宿舍可洗澡，配有洗衣机，空调，无线网络，开心的工作氛围，公平的晋升体系；3.大学生学历津贴（本科学历：每月津贴800元，专科学历：每月津贴500元，转正后持续发放3个月）4.工龄奖，带薪年假，婚假礼金，生育礼金，子教育津贴，生日福利，店内就餐优惠折扣。晋升发展：1.运营管理路径：后厨基本岗位?后厨组长?厨房长?区域稽核经理?运营区经理?运营总监（公司总部设有：财务部、人力资源部、市场品牌部、信息部、外卖部、食安部）岗位职责：（后厨岗位包括：主食凉菜做单明档穿串洗碗）1、按照门店的标准完成所加工产品的验收、清洗、加工、出餐工作；2、产品操作达到产品品质要求、做到出餐形状、重量、规格、数量符合标准；3、按时清洁个人操作区域卫生及仪容仪表规范，确保区域卫生清洁及为顾客提供舒适的就餐感受；4、根据产品需求合理使用机器设备，操作过程中如遇设备、产品等特殊问题无法解决及时上报直属上级，并协助上级解决问题；5、完成本职工作的同时协助其他伙伴工作，执行好上级交办的其他事项，确保高品质的产品供应。任职资格：1、年龄18-45岁之间；2、热爱餐饮行业，注重个人卫生；3、为人诚实守信、认真负责、吃苦耐劳、较强的执行力。面试地点：1、门店直接面试2、高新区繁荣路与桦甸街交汇，丰茂烤串三楼3、面试通过后，长春市内6家门店就近分配。乘车路线：公交车262、292、213、205、195繁荣路站下成册既是
